distance,amp_median,amp_qmin,amp_qmax,freq,model,comp,m0_default
120.0,0.00010808820097908224,5.0279458376841005e-05,0.00021452403911782653,0.01,Cold100,u,6.0
125.0,0.00010591660017217748,4.9785291957944676e-05,0.00020941037831333925,0.01,Cold100,u,6.0
130.0,0.00010374499936527273,4.929112553904835e-05,0.00020429671750885197,0.01,Cold100,u,6.0
135.0,0.00010157339855836799,4.879695912015202e-05,0.00019918305670436467,0.01,Cold100,u,6.0
140.0,9.940179775146323e-05,4.830279270125569e-05,0.00019406939589987742,0.01,Cold100,u,6.0
145.0,9.723019694455847e-05,4.780862628235936e-05,0.0001889557350953901,0.01,Cold100,u,6.0
150.0,9.505859613765371e-05,4.731445986346303e-05,0.0001838420742909028,0.01,Cold100,u,6.0
155.0,9.288699533074896e-05,4.68202934445667e-05,0.00017872841348641553,0.01,Cold100,u,6.0
160.0,9.511934108548789e-05,4.724306754674201e-05,0.0001832786790359576,0.01,Cold100,u,6.0
165.0,9.735168684022682e-05,4.7665841648917314e-05,0.0001878289445854997,0.01,Cold100,u,6.0
170.0,9.958403259496578e-05,4.808861575109263e-05,0.0001923792101350418,0.01,Cold100,u,6.0
175.0,0.0001018163783497047,4.851138985326793e-05,0.00019692947568458388,0.01,Cold100,u,6.0
180.0,0.00010404872410444363,4.893416395544324e-05,0.00020147974123412596,0.01,Cold100,u,6.0
185.0,0.00010628106985918257,4.935693805761855e-05,0.00020603000678366803,0.01,Cold100,u,6.0
190.0,0.0001085134156139215,4.977971215979385e-05,0.00021058027233321013,0.01,Cold100,u,6.0
195.0,0.00011074576136866044,5.0202486261969165e-05,0.00021513053788275224,0.01,Cold100,u,6.0
200.0,0.00011297810712339937,5.062526036414447e-05,0.0002196808034322943,0.01,Cold100,u,6.0
205.0,0.00011521045287813831,5.1048034466319775e-05,0.00022423106898183639,0.01,Cold100,u,6.0
210.0,0.00011445269217157981,5.07422239878056e-05,0.00022235749855502724,0.01,Cold100,u,6.0
215.0,0.0001136949314650213,5.043641350929144e-05,0.0002204839281282181,0.01,Cold100,u,6.0
220.0,0.0001129371707584628,5.013060303077727e-05,0.00021861035770140896,0.01,Cold100,u,6.0
225.0,0.00011217941005190428,4.98247925522631e-05,0.00021673678727459985,0.01,Cold100,u,6.0
230.0,0.00011142164934534578,4.951898207374893e-05,0.0002148632168477907,0.01,Cold100,u,6.0
235.0,0.00011066388863878728,4.9213171595234764e-05,0.00021298964642098157,0.01,Cold100,u,6.0
240.0,0.00010990612793222876,4.89073611167206e-05,0.00021111607599417242,0.01,Cold100,u,6.0
245.0,0.00010914836722567026,4.860155063820643e-05,0.00020924250556736328,0.01,Cold100,u,6.0
250.0,0.00010839060651911175,4.8295740159692255e-05,0.00020736893514055414,0.01,Cold100,u,6.0
255.0,0.00010763284581255324,4.798992968117809e-05,0.00020549536471374503,0.01,Cold100,u,6.0
260.0,0.00010499842890327658,4.729506556357416e-05,0.0002025835087352231,0.01,Cold100,u,6.0
265.0,0.00010236401199399993,4.6600201445970244e-05,0.0001996716527567012,0.01,Cold100,u,6.0
270.0,9.972959508472327e-05,4.590533732836632e-05,0.00019675979677817931,0.01,Cold100,u,6.0
275.0,9.709517817544662e-05,4.5210473210762393e-05,0.00019384794079965742,0.01,Cold100,u,6.0
280.0,9.446076126616996e-05,4.451560909315847e-05,0.00019093608482113552,0.01,Cold100,u,6.0
285.0,9.18263443568933e-05,4.382074497555455e-05,0.0001880242288426136,0.01,Cold100,u,6.0
290.0,8.919192744761665e-05,4.3125880857950624e-05,0.0001851123728640917,0.01,Cold100,u,6.0
295.0,8.655751053833999e-05,4.24310167403467e-05,0.0001822005168855698,0.01,Cold100,u,6.0
300.0,8.392309362906335e-05,4.173615262274278e-05,0.0001792886609070479,0.01,Cold100,u,6.0
305.0,8.128867671978669e-05,4.1041288505138855e-05,0.000176376804928526,0.01,Cold100,u,6.0
310.0,7.941021582044646e-05,4.0376909773936356e-05,0.00017436632629016382,0.01,Cold100,u,6.0
315.0,7.753175492110623e-05,3.971253104273386e-05,0.00017235584765180168,0.01,Cold100,u,6.0
320.0,7.565329402176602e-05,3.9048152311531364e-05,0.0001703453690134395,0.01,Cold100,u,6.0
325.0,7.377483312242579e-05,3.8383773580328865e-05,0.00016833489037507734,0.01,Cold100,u,6.0
330.0,7.189637222308557e-05,3.7719394849126366e-05,0.00016632441173671517,0.01,Cold100,u,6.0
335.0,7.001791132374534e-05,3.705501611792386e-05,0.000164313933098353,0.01,Cold100,u,6.0
340.0,6.813945042440511e-05,3.639063738672136e-05,0.00016230345445999086,0.01,Cold100,u,6.0
345.0,6.62609895250649e-05,3.572625865551887e-05,0.00016029297582162866,0.01,Cold100,u,6.0
350.0,6.438252862572466e-05,3.506187992431637e-05,0.00015828249718326652,0.01,Cold100,u,6.0
355.0,6.250406772638445e-05,3.439750119311387e-05,0.00015627201854490435,0.01,Cold100,u,6.0
360.0,6.190723391851317e-05,3.389519818375054e-05,0.00015483582909863272,0.01,Cold100,u,6.0
365.0,6.131040011064192e-05,3.3392895174387194e-05,0.00015339963965236108,0.01,Cold100,u,6.0
